分数,学校,姓名,院校全称,研究方向,主页,Google Scholar,明确招本科实习,有opening,教授NJU背景,学生NJU背景,是否AP,资深教授,找到CV,关键词匹配,爬取页数,招生证据,NJU证据,错误
5,CMU,Aayush Jain,Carnegie Mellon University,"ML, Robotics",https://sites.google.com/view/aayushjain,https://scholar.google.com/citations?user=VZ6S70MAAAAJ,False,False,False,False,True,False,False,False,1,,,
0,Rutgers,Abdeslam Boularias,Rutgers University,"AI, ML, Robotics",http://www.abdeslam.net,https://scholar.google.com/citations?user=8AF3RCsAAAAJ,False,False,False,False,False,False,False,False,1,,,
3,Stanford,Aaron Sidford,Stanford University,"AI, ML",http://www.aaronsidford.com,https://scholar.google.com/citations?user=SWqd2rgAAAAJ,False,True,False,False,False,False,False,False,2,"...affiliated, feel free to reach out (from a Stanford email). Joining the Group I regularly advise Stanford students from a variety of depa... | ...er. I often do not respond to emails about applications or joining the group from outside Stanford. Google Sites Report abuse Page detai...",,
2,Princeton,Aarti Gupta,Princeton University,"AI, ML",https://www.cs.princeton.edu/people/profile/aartig,https://scholar.google.com/citations?user=S_jYB2sAAAAJ,False,False,False,False,True,True,False,False,8,,,
0,VT,A. Lynn Abbott,Virginia Tech,"ML, Vision",https://ece.vt.edu/people/profile/abbott.html,https://scholar.google.com/citations?user=UJVd84YAAAAJ,False,True,False,False,False,True,False,False,9,...ndergraduate Programs Undergraduate Programs Submenu Toggle Prospective Students Accelerated ECE UGG Program Concentrations/Options Courses... | ...ndergraduate Programs Undergraduate Programs Submenu Toggle Prospective Students Accelerated ECE UGG Program Concentrations/Options Courses...,,
0,NUS,Abhik Roychoudhury,National University of Singapore,ML,https://www.comp.nus.edu.sg/~abhik,https://scholar.google.com/citations?user=UxFWSJIAAAAJ,False,False,False,False,False,False,False,False,0,,,主页获取失败
15,Cornell,Abe Davis,Cornell University,Vision,http://abedavis.com,https://scholar.google.com/citations?user=-Gp8ghkAAAAJ,True,False,False,False,True,False,True,False,4,...ering. 2008-2010 Stanford University Computer Graphics Lab. Undergrad researcher: Conducted research in computer graphics and computationa... | ...ering. 2008-2010 Stanford University Computer Graphics Lab. Undergrad researcher: Conducted research in computer graphics and computationa...,,
2,Duke,A. Robert Calderbank,Duke University,"ML, NLP, Vision",https://ece.duke.edu/faculty/robert-calderbank,https://scholar.google.com/citations?user=XtUBAtwAAAAJ,False,False,False,False,True,True,False,False,9,,,
0,UMN,Abhishek Chandra,University of Minnesota,AI,http://www-users.cs.umn.edu/~chandra,https://scholar.google.com/citations?user=hSklLfsAAAAJ,False,False,False,False,False,False,False,False,1,,,
15,UW,Abhishek Gupta,University of Washington,"AI, ML, Robotics, Vision",https://abhishekunique.github.io,https://scholar.google.com/citations?user=1wLVDP4AAAAJ,True,False,False,False,True,False,True,False,2,"...earch Area: Deep Reinforcement Learning, Robotics 2014–2015 Undergraduate Researcher, UC Berkeley, Advisor: Pieter Abbeel. Research Areas: Task...",,
10,UMD,Abhinav Shrivastava,Univ. of Maryland - College Park,"AI, ML, Robotics, Vision",http://abhinavsh.info,https://scholar.google.com/citations?user=mIF9BowAAAAJ,True,False,False,False,False,False,False,False,6,"...→ Causify → Imagry Vinoj Jayasundara You're missed, Vinoj. Undergraduate Interns Anirud Aggarwal (CRA Outstanding Undergraduate Researcher... | ...noj. Undergraduate Interns Anirud Aggarwal (CRA Outstanding Undergraduate Researcher - Honorable Mention) → Video AI Startup (Stealth) Archit Ka...",,
5,Purdue,Abulhair Saparov,Purdue University,"AI, ML, NLP",https://asaparov.org,https://scholar.google.com/citations?user=TVNS71sAAAAJ,False,False,False,False,True,False,False,False,1,,,
2,UMD,Abhinav Bhatele,Univ. of Maryland - College Park,ML,http://www.cs.umd.edu/~bhatele,https://scholar.google.com/citations?user=3x65qtwAAAAJ,False,False,False,False,True,True,False,False,1,,,
2,UCLA,Achuta Kadambi,Univ. of California - Los Angeles,"ML, Robotics, Vision",https://www.ee.ucla.edu/achuta-kadambi,https://scholar.google.com/citations?user=UMzWJikAAAAJ,False,False,False,False,True,True,False,False,9,,,
5,Columbia,Adam Block,Columbia University,"ML, Web+IR",https://abblock.github.io,https://scholar.google.com/citations?user=yWzWF2MAAAAJ,False,False,False,False,True,False,True,False,2,,,
0,UIUC,Adam Bates,Univ. of Illinois at Urbana-Champaign,Web+IR,http://adambates.org,https://scholar.google.com/citations?user=1dVglBkAAAAJ,False,False,False,False,False,False,False,False,2,,,
0,Princeton,Adam Finkelstein,Princeton University,"AI, Robotics, Vision, Web+IR",https://www.cs.princeton.edu/~af,https://scholar.google.com/citations?user=a959F6AAAAAJ,False,False,False,False,False,False,False,False,1,,,
0,CUHK,Ada Wai-Chee Fu,Chinese University of Hong Kong,ML,http://www.cse.cuhk.edu.hk/~adafu,https://scholar.google.com/citations?user=tcwyqtUAAAAJ,False,False,False,False,False,False,False,False,1,,,
5,UW-Madison,Adithya Murali,University of Wisconsin - Madison,AI,https://muraliadithya.github.io,https://scholar.google.com/citations?user=Yw5Q_CgAAAAJ,False,False,False,False,True,False,False,False,2,,,
2,CMU,Adam Perer,Carnegie Mellon University,ML,https://perer.org,https://scholar.google.com/citations?user=wAxr6b8AAAAJ,False,False,False,False,True,True,True,False,2,,,
2,UPenn,Aaron Roth,University of Pennsylvania,"AI, ML, NLP, Vision",http://www.cis.upenn.edu/~aaroth,https://scholar.google.com/citations?user=kLUQrrYAAAAJ,False,False,False,False,True,True,False,False,3,,,
5,CMU,Aditi Raghunathan,Carnegie Mellon University,"ML, NLP, Vision",https://www.cs.cmu.edu/~aditirag,https://scholar.google.com/citations?user=Ch9iRwQAAAAJ,False,False,False,False,True,False,False,False,2,,,
0,UT-Austin,Aditya Akella,University of Texas at Austin,"ML, NLP, Robotics",http://pages.cs.wisc.edu/~akella,https://scholar.google.com/citations?user=d_rxnzAAAAAJ,False,False,False,False,False,False,False,False,1,,,
2,UCI,Aditi Majumder,Univ. of California - Irvine,Vision,http://www.ics.uci.edu/~majumder,https://scholar.google.com/citations?user=tXhqJv0AAAAJ,False,False,False,False,True,True,True,False,3,,,
-3,NTU,Adams Wai-Kin Kong,Nanyang Technological University,"AI, ML, NLP, Vision",https://www3.ntu.edu.sg/home/adamskong,https://scholar.google.com/citations?user=NOSCHOLARPAGE,False,False,False,False,False,True,False,False,1,,,
-3,CMU,Abhinav Gupta,Carnegie Mellon University,"AI, ML, Robotics, Vision",http://www.cs.cmu.edu/~abhinavg,https://scholar.google.com/citations?user=NOSCHOLARPAGE,False,False,False,False,False,True,True,False,3,,,
2,Princeton,Adji B. Dieng,Princeton University,ML,https://www.cs.princeton.edu/people/profile/ad6725,https://scholar.google.com/citations?user=ZCniP_MAAAAJ,False,False,False,False,True,True,False,False,8,,,
8,UCLA,Aditya Grover,Univ. of California - Los Angeles,"AI, ML, Vision",https://aditya-grover.github.io,https://scholar.google.com/citations?user=oOhnPUgAAAAJ,False,True,False,False,True,False,False,False,3,"...pective Interns and Students Thank you for your interest in joining my group. Please read the following information before applying: Int... | ...mail, I will not be able to reply to individual mails from prospective students outside UCLA. I regularly take on students in my group at...",,
15,Yale,Aaron M. Dollar,Yale University,Robotics,https://seas.yale.edu/faculty-research/faculty-directory/aaron-m-dollar,https://scholar.google.com/citations?user=jFekO3IAAAAJ,True,False,False,False,True,True,True,False,9,...ed work under my primary supervision Starred* authors were undergraduate research assistants for the described work Refereed Journal Articles J95.... | ...ale Engineering Undergraduate Alumni who Completed a Summer Internship: 70% Yale Engineering Undergraduate Alumni who Studied Abroad: 11% Yale Engineering Undergradua...,,
-3,GaTech,Agata Rozga,Georgia Institute of Technology,Vision,http://www.agatarozga.org,https://scholar.google.com/citations?user=LAuxzv0AAAAJ,False,False,False,False,False,True,False,False,1,,,
5,UCB,Aditya G. Parameswaran,Univ. of California - Berkeley,"ML, NLP",https://people.eecs.berkeley.edu/~adityagp,https://scholar.google.com/citations?user=VeB3UbcAAAAJ,False,True,False,False,True,True,False,False,1,"...lication domains with limited data expertise. We are always looking for postdocs, PhD, MS, and UG students to join our efforts! If you are a postdoc applicant...",,
5,Cornell,Ahmed El Alaoui,Cornell University,ML,https://elalaoui.stat.cornell.edu,https://scholar.google.com/citations?user=Oa3Aze8AAAAJ,False,False,False,False,True,False,False,False,1,,,
0,UCLA,Adnan Darwiche,Univ. of California - Los Angeles,"AI, ML",http://www.cs.ucla.edu/~darwiche,https://scholar.google.com/citations?user=pygPWvEAAAAJ,False,False,False,False,False,False,False,False,1,,,
0,Cornell,Adrian Sampson,Cornell University,Vision,http://adriansampson.net,https://scholar.google.com/citations?user=Bq50aCUAAAAJ,False,False,False,False,False,False,False,False,1,,,
8,Brown,Adriana Schulz,Brown University,"Robotics, Vision",https://www.computationaldesign.group/adriana,https://scholar.google.com/citations?user=q_krEZgAAAAJ,False,True,False,False,True,False,False,False,3,"...rcher Award . View my Publications, News, and more Info for Prospective Students Teaching Fall 2019: Computational Fabrication ( CSE 556 )... | ...er graphics. Led by Adriana Schulz at Brown University. For Prospective Students Recent Publications Design for Descent: What Makes a Shape...",,
8,NYU,Ainesh Bakshi,New York University,ML,https://www.aineshbakshi.com,https://scholar.google.com/citations?user=hr81fHoAAAAJ,False,True,False,False,True,False,False,False,1,"...I obtained a PhD in Computer Science from CMU. Recruiting: I am hiring PhD students for Fall 2026. I am specifically looking for s... | ...: I am hiring PhD students for Fall 2026. I am specifically looking for students with a strong background in math, theoretical computer sci...",,
5,NYU,Aijun An,York University,"ML, NLP, Web+IR",http://www.cse.yorku.ca/~aan,https://scholar.google.com/citations?user=2eUL7eEAAAAJ,False,False,False,False,True,False,False,False,1,,,
2,Purdue,Ahmed H. Qureshi,Purdue University,"ML, Robotics",https://www.cs.purdue.edu/people/faculty/qureshi7.html,https://scholar.google.com/citations?user=Lkrx2SkAAAAJ,False,False,False,False,True,True,False,False,9,,,
0,Rutgers,Ahmed M. Elgammal,Rutgers University,"AI, ML, Robotics, Vision",http://www.cs.rutgers.edu/~elgammal/Home.html,https://scholar.google.com/citations?user=DxQiCiIAAAAJ,False,False,False,False,False,False,False,False,0,,,主页无内容
